Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
8856,0,1,1,39,3,13.000000
8857,1,1,1,66,4,16.500000
8858,1,1,1,40,2,20.000000
8859,1,1,1,34,3,11.333333
8860,1,1,1,45,4,11.250000
8861,0,1,1,55,5,11.000000
8862,0,0,1,33,3,11.000000
8863,0,1,2,59,3,19.666667
8864,0,0,1,63,5,12.600000
8865,1,0,0,45,3,15.000000
8866,0,0,0,28,2,14.000000
8867,1,0,0,43,3,14.333333
8868,1,1,1,38,3,12.666667
8869,1,1,1,50,3,16.666667
8870,1,1,1,47,3,15.666667
8871,1,0,0,26,2,13.000000
8872,1,1,1,43,3,14.333333
8873,1,1,0,21,2,10.500000
8874,1,1,1,40,3,13.333333
8875,1,1,1,47,2,23.500000
8876,0,0,0,28,2,14.000000
8877,0,0,0,20,3,6.666667
8878,0,0,0,19,3,6.333333
8879,0,0,0,62,3,20.666667
8880,0,0,0,10,2,5.000000
8881,0,0,0,30,3,10.000000
8882,0,0,0,43,4,10.750000
8883,1,1,1,60,5,12.000000
8884,1,2,1,60,4,15.000000
8885,1,1,1,45,3,15.000000
8886,1,0,0,22,2,11.000000
8887,0,0,0,21,2,10.500000
8888,1,1,1,46,4,11.500000
8889,0,2,1,50,5,10.000000
8890,0,1,1,37,4,9.250000
8891,2,1,1,33,5,6.600000
8892,0,0,0,49,3,16.333333
8893,1,1,1,29,2,14.500000
8894,0,1,0,29,2,14.500000
8895,0,0,0,17,2,8.500000
8896,2,2,2,69,5,13.800000
8897,1,1,1,62,6,10.333333
8898,1,1,1,39,4,9.750000
8899,1,1,1,32,3,10.666667
8900,1,2,1,98,8,12.250000
8901,0,0,0,41,3,13.666667
8903,1,0,0,44,4,11.000000
8904,0,0,0,27,2,13.500000
8905,1,2,1,47,4,11.750000
8906,1,1,0,64,4,16.000000
8907,1,0,0,51,4,12.750000
8908,0,0,0,24,3,8.000000
8909,0,0,1,47,3,15.666667
8910,0,0,0,32,3,10.666667
8911,1,1,1,44,3,14.666667
8912,0,0,0,4,2,2.000000
8913,1,1,1,42,3,14.000000
8914,0,0,0,19,3,6.333333
8915,1,2,2,68,4,17.000000
8916,1,1,1,38,4,9.500000
8918,0,0,0,45,3,15.000000
8919,0,0,0,46,5,9.200000
8920,1,1,1,40,3,13.333333
8921,1,1,1,50,4,12.500000
8922,1,1,1,49,4,12.250000
8923,1,1,2,60,5,12.000000
8924,1,1,0,36,3,12.000000
8925,1,1,1,36,3,12.000000
8926,1,0,1,26,2,13.000000
8927,0,0,1,63,5,12.600000
8928,1,1,0,36,2,18.000000
8929,0,0,1,43,4,10.750000
8930,0,0,0,27,1,27.000000
8931,1,1,1,40,3,13.333333
8932,1,1,0,22,3,7.333333
8933,1,1,1,54,6,9.000000
8934,1,2,2,61,4,15.250000
8935,0,1,1,51,4,12.750000
8936,0,1,0,22,2,11.000000
8937,1,1,1,27,3,9.000000
8938,1,1,1,38,2,19.000000
8939,0,0,0,6,2,3.000000
8940,1,1,1,68,3,22.666667
8941,0,0,0,55,3,18.333333
8942,1,1,1,44,3,14.666667
8943,1,2,1,41,2,20.500000
8944,0,0,0,29,3,9.666667
8945,1,2,1,63,4,15.750000
8946,1,1,1,35,4,8.750000
8947,0,0,1,44,3,14.666667
8948,1,1,1,57,3,19.000000
8949,1,1,1,34,2,17.000000
8950,0,2,2,70,4,17.500000
8951,1,0,1,24,3,8.000000
8952,1,1,1,30,3,10.000000
8953,0,0,0,26,2,13.000000
8954,1,1,1,35,2,17.500000
8955,0,1,1,67,4,16.750000
8956,1,0,0,21,2,10.500000
8957,1,1,0,52,2,26.000000
8958,1,1,0,26,3,8.666667
8959,1,1,2,78,5,15.600000
8960,1,1,1,34,3,11.333333
8961,0,0,0,46,5,9.200000
8962,1,1,1,64,5,12.800000
8963,1,1,1,36,2,18.000000
8964,1,1,1,37,3,12.333333
8966,0,0,0,16,2,8.000000
8967,0,0,0,28,3,9.333333
8968,0,0,0,14,2,7.000000
8969,0,0,0,19,3,6.333333
8970,1,1,1,45,4,11.250000
8971,1,1,0,43,5,8.600000
8972,0,1,1,34,2,17.000000
8973,0,0,0,33,2,16.500000
8974,1,1,0,21,2,10.500000
8975,1,1,1,38,4,9.500000
8976,1,1,1,37,4,9.250000
8977,0,0,0,26,3,8.666667
8978,0,1,1,52,5,10.400000
8979,1,2,2,86,5,17.200000
8980,0,0,0,19,2,9.500000
8981,0,1,1,70,6,11.666667
8982,1,2,1,58,3,19.333333
8983,1,1,1,42,2,21.000000
8984,2,2,2,77,6,12.833333
8985,0,0,0,19,2,9.500000
8986,0,0,0,52,3,17.333333
8987,0,0,0,19,2,9.500000
8988,1,1,0,38,4,9.500000
8989,0,0,0,18,2,9.000000
8990,1,0,0,43,3,14.333333
8991,0,0,0,9,2,4.500000
8992,2,1,1,28,2,14.000000
8993,0,0,0,6,2,3.000000
8994,1,0,1,35,3,11.666667
8995,1,1,1,60,4,15.000000
8997,0,0,0,24,2,12.000000
8998,0,0,0,41,4,10.250000
8999,1,1,1,35,2,17.500000
9000,0,0,1,27,2,13.500000
9002,0,0,0,10,2,5.000000
9003,0,0,0,26,2,13.000000
9005,1,1,1,57,3,19.000000
9006,0,0,1,44,4,11.000000
9007,0,0,0,36,2,18.000000
9008,0,1,1,69,7,9.857143
9009,1,1,1,38,3,12.666667
9010,2,1,1,57,4,14.250000
9011,1,1,1,35,4,8.750000
9012,1,1,0,27,3,9.000000
9013,1,1,1,50,2,25.000000
9014,1,1,1,30,2,15.000000
9016,0,0,0,15,2,7.500000
9017,0,0,0,66,4,16.500000
9018,1,1,1,52,3,17.333333
9020,1,2,2,64,3,21.333333
9021,0,0,0,7,2,3.500000
9022,0,1,1,68,5,13.600000
9023,1,1,1,34,3,11.333333
9024,1,1,2,66,8,8.250000
9025,1,1,2,64,3,21.333333
9026,1,1,1,44,5,8.800000
9027,0,0,0,40,3,13.333333
9028,0,0,0,50,3,16.666667
9029,1,1,0,35,4,8.750000
9030,1,1,1,53,5,10.600000
9031,1,1,1,62,5,12.400000
9032,1,1,1,39,3,13.000000
9033,1,2,2,67,5,13.400000
9034,1,1,1,51,5,10.200000
9035,1,1,1,34,2,17.000000
9036,1,1,1,36,3,12.000000
9037,2,1,1,54,4,13.500000
9038,0,0,1,62,6,10.333333
9039,0,1,1,30,3,10.000000
9040,1,1,0,74,6,12.333333
9041,0,0,1,55,6,9.166667
9042,2,1,1,48,2,24.000000
9043,0,1,1,96,4,24.000000
9045,1,0,0,30,4,7.500000
9046,1,2,2,66,4,16.500000
9047,1,1,1,55,3,18.333333
9048,0,0,0,23,2,11.500000
9050,0,0,0,59,4,14.750000
9051,0,0,0,19,3,6.333333
9052,1,1,1,48,4,12.000000
9053,1,1,1,53,4,13.250000
9055,1,1,1,59,5,11.800000
9056,1,1,1,24,2,12.000000
9057,0,0,0,69,4,17.250000
9058,0,0,0,42,3,14.000000
9059,1,1,1,34,3,11.333333
9060,1,1,1,21,2,10.500000
9061,1,2,2,69,3,23.000000
9062,2,1,1,39,3,13.000000
9063,1,1,1,57,4,14.250000
9064,1,0,1,38,5,7.600000
9065,0,0,0,42,3,14.000000
9066,1,1,1,57,4,14.250000
9067,1,1,1,54,3,18.000000
9068,1,0,1,42,5,8.400000
9069,0,0,0,46,4,11.500000
9070,1,1,1,48,2,24.000000
9071,1,1,1,38,3,12.666667
9072,1,1,0,15,2,7.500000
9073,0,1,0,62,5,12.400000
9074,0,0,0,28,2,14.000000
9075,1,1,1,37,3,12.333333
9076,1,1,1,38,3,12.666667
9077,1,1,1,43,3,14.333333
9078,1,1,1,52,4,13.000000
9079,0,0,0,33,4,8.250000
9080,1,1,1,47,1,47.000000
9081,0,0,0,47,4,11.750000
9082,2,1,1,44,2,22.000000
9083,1,1,0,38,4,9.500000
9084,1,1,1,23,2,11.500000
9085,1,1,1,37,3,12.333333
9086,1,1,1,52,5,10.400000
9087,0,1,0,17,3,5.666667
9088,1,1,1,52,3,17.333333
9089,1,1,1,26,2,13.000000
9090,1,1,1,41,4,10.250000
9091,1,1,1,22,3,7.333333
9092,1,0,0,16,2,8.000000
9093,2,2,2,67,6,11.166667
9094,1,1,1,32,2,16.000000
9095,0,0,0,34,3,11.333333
9096,1,1,0,51,3,17.000000
9097,0,0,0,4,2,2.000000
9098,0,0,0,49,5,9.800000
9099,1,1,1,30,2,15.000000
9100,0,0,0,35,2,17.500000
9101,1,1,1,27,2,13.500000
9102,1,1,1,63,4,15.750000
9103,1,1,1,66,5,13.200000
9104,0,1,1,51,4,12.750000
9105,1,0,1,41,2,20.500000
9106,1,1,2,66,4,16.500000
9107,2,2,2,83,7,11.857143
9109,1,1,1,57,6,9.500000
9110,0,0,0,42,3,14.000000
9111,2,1,0,47,6,7.833333
9112,1,1,1,29,3,9.666667
9114,0,0,0,10,3,3.333333
9115,1,1,1,67,4,16.750000
9116,0,0,0,40,4,10.000000
9117,1,0,0,64,3,21.333333
9118,2,2,1,76,4,19.000000
9119,1,0,0,24,2,12.000000
9121,1,1,0,36,2,18.000000
9123,2,1,1,45,4,11.250000
9124,1,1,1,44,3,14.666667
9125,1,1,1,16,3,5.333333
9126,2,0,2,62,5,12.400000
9127,1,0,1,57,5,11.400000
9128,1,0,0,28,4,7.000000
9129,1,0,0,35,3,11.666667
9130,1,1,1,40,2,20.000000
9131,0,1,1,46,3,15.333333
9132,0,0,0,45,4,11.250000
9133,1,1,1,63,5,12.600000
9134,0,0,0,28,3,9.333333
9135,0,0,1,44,3,14.666667
9136,1,1,1,60,5,12.000000
9137,0,1,0,38,2,19.000000
9138,0,0,1,54,4,13.500000
9139,0,0,0,35,3,11.666667
9140,1,1,1,65,4,16.250000
9141,0,0,0,5,2,2.500000
9142,0,0,0,48,4,12.000000
9143,1,1,0,60,3,20.000000
9144,1,0,1,27,3,9.000000
9145,0,0,0,39,4,9.750000
9146,1,1,1,46,3,15.333333
9147,1,0,0,40,3,13.333333
9148,0,0,1,18,2,9.000000
9149,1,1,1,26,2,13.000000
9150,1,1,1,45,3,15.000000
9151,0,0,0,18,2,9.000000
9152,1,1,1,24,3,8.000000
9153,0,0,0,23,3,7.666667
9154,0,0,1,46,4,11.500000
9155,0,0,0,29,3,9.666667
9156,1,1,1,34,3,11.333333
9157,1,1,2,61,5,12.200000
9158,0,0,0,34,3,11.333333
9159,1,0,1,34,3,11.333333
9160,1,1,1,61,6,10.166667
9161,0,1,1,45,3,15.000000
9162,1,1,1,55,5,11.000000
9163,1,1,1,42,4,10.500000
9164,1,1,1,25,2,12.500000
9165,1,1,1,37,2,18.500000
9166,1,0,0,50,4,12.500000
9167,0,0,0,26,3,8.666667
9168,1,0,0,21,2,10.500000
9169,2,2,1,66,6,11.000000
9170,0,1,2,45,4,11.250000
9171,0,0,1,66,5,13.200000
9172,1,2,2,18,1,18.000000
9173,1,1,1,74,3,24.666667
9174,1,1,1,32,3,10.666667
9175,2,1,1,67,5,13.400000
9176,1,1,1,39,3,13.000000
9177,0,0,0,59,4,14.750000
9178,1,1,1,32,4,8.000000
9179,0,0,0,23,2,11.500000
9180,1,0,0,35,3,11.666667
9181,1,1,1,39,2,19.500000
9182,0,0,0,26,2,13.000000
9183,1,1,1,56,3,18.666667
9184,1,1,1,28,2,14.000000
9185,0,1,1,49,5,9.800000
9186,1,1,1,59,5,11.800000
9187,1,0,0,13,2,6.500000
9188,1,1,1,43,3,14.333333
9189,1,1,1,41,3,13.666667
9190,1,1,0,56,4,14.000000
9191,0,0,0,50,5,10.000000
9192,0,1,1,54,5,10.800000
9193,1,1,1,51,3,17.000000
9194,0,0,0,39,2,19.500000
9195,2,2,1,40,3,13.333333
9197,1,2,2,58,4,14.500000
9198,2,1,1,39,4,9.750000
9199,0,0,0,25,3,8.333333
9200,1,1,1,45,4,11.250000
9201,2,2,2,62,4,15.500000
9202,1,0,0,34,3,11.333333
9204,0,0,0,34,3,11.333333
9205,0,1,1,73,5,14.600000
9206,1,1,1,42,4,10.500000
9207,0,0,0,22,3,7.333333
9208,0,0,0,39,3,13.000000
9210,1,1,1,65,5,13.000000
9211,0,0,0,37,3,12.333333
9212,1,2,2,67,4,16.750000
9213,1,2,2,67,4,16.750000
9214,1,1,1,24,3,8.000000
9215,0,0,0,28,3,9.333333
9216,1,1,1,32,4,8.000000
9217,1,1,1,60,6,10.000000
9218,2,1,1,56,5,11.200000
9219,1,0,0,26,3,8.666667
9220,0,0,0,17,2,8.500000
9221,1,2,1,46,4,11.500000
9222,1,0,0,12,2,6.000000
9223,2,2,1,56,3,18.666667
9224,1,1,0,23,2,11.500000
9225,0,0,0,35,4,8.750000
9226,2,1,1,52,4,13.000000
9227,0,0,1,52,3,17.333333
9228,1,0,0,13,3,4.333333
9229,1,1,1,44,4,11.000000
9230,0,0,1,39,3,13.000000
9231,1,0,0,38,5,7.600000
9232,2,1,1,65,4,16.250000
9233,0,0,0,8,2,4.000000
9234,0,0,0,19,2,9.500000
9235,1,1,1,35,3,11.666667
9236,1,1,1,48,2,24.000000
9237,2,1,1,40,2,20.000000
9238,0,1,0,24,3,8.000000
9240,1,1,1,58,3,19.333333
9241,0,0,0,35,2,17.500000
9242,0,1,1,51,3,17.000000
9243,1,2,1,52,5,10.400000
9244,1,1,0,34,3,11.333333
9245,1,1,1,41,5,8.200000
9246,1,1,1,33,3,11.000000
9248,0,0,1,38,4,9.500000
9249,1,2,2,64,4,16.000000
9250,0,0,0,16,2,8.000000
9251,2,1,1,32,3,10.666667
9252,1,1,1,45,5,9.000000
9253,1,0,0,30,3,10.000000
9254,1,1,0,37,4,9.250000
9255,0,0,0,32,5,6.400000
9256,1,1,1,40,3,13.333333
9258,0,0,0,58,3,19.333333
9259,1,1,1,54,4,13.500000
9260,2,1,1,67,4,16.750000
9261,0,0,0,24,3,8.000000
9262,1,1,1,42,4,10.500000
9263,1,1,1,41,3,13.666667
9264,1,1,1,52,4,13.000000
9265,1,1,1,57,4,14.250000
9266,1,0,0,34,4,8.500000
9267,1,1,1,31,4,7.750000
9268,1,1,1,42,4,10.500000
9269,1,2,1,50,3,16.666667
9270,2,2,2,63,6,10.500000
9271,1,1,1,52,5,10.400000
9272,1,1,1,42,2,21.000000
9273,2,1,0,48,3,16.000000
9274,1,1,1,36,2,18.000000
9275,0,0,1,61,4,15.250000
9276,1,0,0,26,3,8.666667
9277,2,1,1,54,3,18.000000
9279,1,1,1,32,3,10.666667
9280,1,1,1,37,3,12.333333
9281,0,0,0,62,8,7.750000
9283,1,1,1,46,3,15.333333
9285,1,2,2,72,5,14.400000
9286,0,1,1,47,3,15.666667
9287,0,0,0,41,4,10.250000
9288,1,1,1,26,2,13.000000
9289,1,1,1,58,5,11.600000
9290,0,0,0,35,2,17.500000
9291,1,0,1,74,6,12.333333
9292,1,1,1,56,4,14.000000
9293,1,1,1,24,2,12.000000
9294,1,0,0,30,2,15.000000
9295,0,0,0,15,2,7.500000
9296,1,1,0,26,2,13.000000
9297,0,0,0,31,3,10.333333
9298,0,0,0,57,3,19.000000
9299,1,1,1,28,4,7.000000
9300,0,0,0,36,3,12.000000
9301,0,0,0,27,2,13.500000
9303,0,1,1,59,3,19.666667
9304,1,1,1,62,4,15.500000
9305,1,2,2,84,6,14.000000
9306,0,0,0,27,3,9.000000
9307,2,2,2,72,6,12.000000
9308,1,1,1,35,3,11.666667
9309,1,1,1,48,4,12.000000
9310,0,0,0,41,5,8.200000
9311,1,1,1,37,2,18.500000
9312,2,1,1,62,5,12.400000
9313,1,1,1,40,3,13.333333
9315,0,0,0,55,5,11.000000
9316,0,0,1,25,3,8.333333
9317,1,1,1,51,3,17.000000
9318,0,1,0,65,6,10.833333
9319,1,2,2,62,5,12.400000
9320,1,0,0,30,2,15.000000
9321,0,0,0,32,3,10.666667
9322,1,1,1,36,3,12.000000
9323,0,0,0,21,3,7.000000
9324,0,1,1,61,4,15.250000
9325,1,1,1,28,3,9.333333
9326,1,1,1,45,3,15.000000
9327,0,0,0,29,5,5.800000
9328,1,1,0,22,2,11.000000
9329,1,0,0,21,2,10.500000
9330,1,0,0,21,3,7.000000
9331,0,0,0,19,3,6.333333
9332,1,1,1,34,4,8.500000
9333,0,0,0,39,3,13.000000
9334,0,0,0,51,2,25.500000
9335,0,0,0,9,2,4.500000
9336,0,0,0,21,4,5.250000
9337,0,0,0,40,5,8.000000
9338,0,0,0,44,2,22.000000
9339,0,0,0,41,4,10.250000
9340,1,2,1,53,3,17.666667
9341,0,0,1,76,6,12.666667
9342,0,0,0,32,2,16.000000
9343,1,0,0,55,3,18.333333
9344,0,0,0,21,1,21.000000
9345,1,1,1,31,4,7.750000
9346,1,1,1,26,2,13.000000
9347,1,1,1,49,4,12.250000
9348,0,0,0,17,2,8.500000
9349,1,1,1,60,5,12.000000
9350,0,0,0,29,3,9.666667
9351,1,1,1,54,3,18.000000
9352,0,0,0,22,2,11.000000
9354,1,1,1,44,5,8.800000
9355,1,1,1,51,4,12.750000
9356,0,0,0,45,3,15.000000
9357,2,2,1,54,4,13.500000
9358,1,1,1,53,3,17.666667
9359,1,1,1,44,3,14.666667
9363,0,0,0,36,4,9.000000
9364,0,0,0,34,3,11.333333
9365,1,0,1,53,4,13.250000
9366,2,1,1,31,3,10.333333
9367,0,0,0,20,2,10.000000
9368,1,1,1,28,2,14.000000
9369,1,1,1,46,3,15.333333
9370,0,1,1,44,2,22.000000
9371,0,0,0,16,2,8.000000
9372,0,0,0,20,2,10.000000
9373,1,1,1,61,5,12.200000
9374,1,0,0,11,2,5.500000
9375,0,1,1,65,5,13.000000
9376,1,1,1,62,5,12.400000
9377,1,1,1,55,3,18.333333
9378,1,1,0,32,3,10.666667
9379,1,1,1,53,3,17.666667
9380,1,1,1,40,4,10.000000
9383,0,0,0,28,2,14.000000
9384,1,1,1,52,3,17.333333
9385,1,1,1,41,4,10.250000
9386,1,2,1,51,2,25.500000
9387,0,0,0,36,6,6.000000
9388,1,1,1,56,4,14.000000
9390,0,0,0,30,3,10.000000
9391,1,0,0,30,2,15.000000
9392,1,1,1,62,3,20.666667
9393,0,0,0,35,3,11.666667
9394,1,0,0,39,2,19.500000
9395,2,2,2,63,4,15.750000
9396,1,1,0,28,4,7.000000
9397,1,1,1,23,3,7.666667
9398,0,0,0,47,3,15.666667
9399,2,1,1,62,5,12.400000
9400,1,1,1,46,4,11.500000
9401,0,0,0,34,3,11.333333
9402,1,1,1,33,3,11.000000
9403,2,1,1,48,3,16.000000
9404,1,1,1,48,4,12.000000
9405,0,0,0,22,2,11.000000
9406,0,0,0,16,3,5.333333
9408,0,0,0,39,3,13.000000
9409,1,1,1,39,3,13.000000
9411,0,0,0,30,2,15.000000
9413,2,1,1,46,4,11.500000
9414,1,1,1,43,3,14.333333
9415,2,1,1,52,3,17.333333
9416,1,1,1,25,4,6.250000
9417,1,0,1,71,7,10.142857
9418,0,0,0,42,4,10.500000
9419,1,1,1,53,4,13.250000
9420,0,1,0,44,4,11.000000
9421,1,1,1,50,3,16.666667
9422,1,1,1,24,3,8.000000
9423,1,1,1,39,3,13.000000
9424,0,0,0,50,5,10.000000
9425,0,0,0,30,3,10.000000
9427,1,1,1,31,2,15.500000
9428,1,1,1,38,2,19.000000
9429,2,1,1,37,3,12.333333
9430,0,0,0,57,3,19.000000
9431,0,0,1,40,5,8.000000
9432,0,0,0,31,4,7.750000
9433,2,1,1,76,6,12.666667
9434,1,1,1,34,4,8.500000
9435,0,0,0,26,2,13.000000
9436,1,1,1,54,5,10.800000
9438,1,0,0,53,3,17.666667
9439,1,0,0,47,4,11.750000
9440,2,1,1,70,4,17.500000
9441,0,0,0,25,2,12.500000
9442,0,1,0,39,3,13.000000
9443,1,1,1,40,3,13.333333
9444,1,2,1,63,4,15.750000
9445,2,1,1,67,5,13.400000
9446,1,1,1,33,3,11.000000
9447,1,1,1,54,3,18.000000
9448,1,0,0,12,1,12.000000
9449,0,0,0,17,3,5.666667
9450,0,0,0,38,5,7.600000
9451,0,0,0,54,3,18.000000
9452,0,0,1,41,5,8.200000
9453,1,1,1,38,2,19.000000
9454,1,2,2,49,4,12.250000
9455,0,0,0,11,2,5.500000
9456,0,0,0,44,3,14.666667
9457,1,1,1,54,4,13.500000
9458,0,0,0,25,2,12.500000
9459,1,1,1,44,5,8.800000
9460,0,0,0,18,2,9.000000
9461,1,1,1,25,2,12.500000
9464,1,1,1,49,4,12.250000
9465,0,0,0,28,2,14.000000
9466,1,1,1,71,2,35.500000
9467,1,1,1,65,4,16.250000
9468,0,1,1,47,2,23.500000
9469,1,1,1,68,4,17.000000
9471,0,0,0,23,2,11.500000
9472,0,0,0,32,2,16.000000
9473,2,1,1,51,3,17.000000
9474,0,0,1,41,2,20.500000
9475,0,1,1,71,4,17.750000
9476,1,1,1,49,3,16.333333
9477,2,1,1,27,3,9.000000
9478,1,1,1,57,5,11.400000
9479,1,1,1,52,5,10.400000
9480,2,2,1,60,4,15.000000
9481,1,1,1,47,3,15.666667
9482,0,0,0,48,4,12.000000
9483,1,1,1,41,3,13.666667
9485,0,1,0,45,6,7.500000
9486,0,0,0,30,4,7.500000
9487,1,0,1,21,2,10.500000
9489,0,0,0,11,2,5.500000
9490,0,0,1,32,2,16.000000
9491,1,0,0,33,3,11.000000
9492,0,1,1,60,4,15.000000
9493,0,0,0,20,2,10.000000
9494,0,1,0,31,3,10.333333
9495,1,1,1,36,2,18.000000
9496,2,1,1,59,5,11.800000
9497,1,1,1,20,3,6.666667
9498,1,1,1,29,2,14.500000
9499,2,1,1,46,6,7.666667
9500,1,1,1,47,4,11.750000
9501,1,1,1,52,5,10.400000
9502,1,1,1,48,4,12.000000
9503,0,0,0,19,3,6.333333
9504,1,0,0,48,5,9.600000
9505,1,1,1,42,3,14.000000
9506,0,0,0,23,3,7.666667
9507,1,0,0,40,2,20.000000
9508,0,1,1,30,3,10.000000
9509,0,0,0,7,2,3.500000
9510,0,0,0,32,3,10.666667
9513,0,0,0,33,3,11.000000
9514,1,1,1,47,5,9.400000
9515,2,1,2,63,4,15.750000
9516,0,0,0,59,5,11.800000
9517,0,0,0,15,3,5.000000
9518,1,1,1,67,6,11.166667
9519,1,0,0,35,6,5.833333
9520,0,0,0,40,5,8.000000
9521,2,2,2,74,5,14.800000
9522,0,0,0,25,2,12.500000
9523,1,1,1,46,3,15.333333
9524,1,1,1,37,3,12.333333
9525,0,0,0,18,2,9.000000
9526,1,0,1,30,2,15.000000
9527,1,1,1,40,3,13.333333
9528,1,1,1,55,4,13.750000
9529,1,0,0,40,3,13.333333
9530,0,0,0,16,4,4.000000
9531,0,1,1,49,3,16.333333
9532,1,1,1,39,4,9.750000
9533,1,1,1,36,3,12.000000
9534,0,0,0,18,2,9.000000
9535,0,0,0,18,2,9.000000
9536,2,2,1,56,3,18.666667
9537,0,0,0,20,1,20.000000
9538,0,0,0,62,4,15.500000
9539,0,0,0,18,2,9.000000
9540,1,1,1,46,4,11.500000
9541,1,1,1,48,3,16.000000
9543,1,1,1,54,3,18.000000
9544,1,1,1,30,2,15.000000
9545,1,1,1,37,4,9.250000
9546,1,1,0,36,2,18.000000
9547,0,0,0,55,4,13.750000
9548,1,0,0,45,3,15.000000
9550,0,1,1,45,4,11.250000
9551,1,0,0,29,2,14.500000
9552,0,0,0,9,2,4.500000
9553,1,1,1,46,1,46.000000
9554,0,1,0,44,5,8.800000
9555,1,1,1,58,4,14.500000
9556,0,0,1,29,3,9.666667
9557,1,1,2,67,4,16.750000
9558,0,1,1,61,4,15.250000
9559,0,0,0,26,2,13.000000
9560,1,1,2,77,4,19.250000
9562,0,0,0,47,3,15.666667
9563,2,1,1,30,2,15.000000
9564,2,2,2,66,4,16.500000
9565,0,0,0,25,3,8.333333
9566,0,0,0,26,2,13.000000
9567,2,1,1,88,6,14.666667
9568,1,1,1,67,5,13.400000
9569,1,1,1,27,2,13.500000
9570,0,0,0,29,3,9.666667
9571,0,1,1,45,2,22.500000
9572,0,0,0,61,4,15.250000
9573,0,0,0,25,3,8.333333
9574,1,1,1,45,3,15.000000
9575,2,2,2,82,5,16.400000
9576,0,0,0,19,2,9.500000
9577,0,0,0,34,3,11.333333
9578,0,0,0,26,2,13.000000
9579,1,1,1,34,3,11.333333
9580,0,0,0,16,2,8.000000
9581,2,1,1,63,5,12.600000
9582,0,0,0,38,4,9.500000
9583,1,1,1,61,5,12.200000
9584,0,0,0,12,2,6.000000
9585,1,1,1,34,3,11.333333
9586,0,0,0,53,3,17.666667
9588,2,1,1,48,4,12.000000
9589,2,1,1,66,7,9.428571
9590,0,0,0,21,2,10.500000
9591,1,1,1,54,3,18.000000
9592,1,1,0,28,2,14.000000
9593,1,0,0,43,3,14.333333
9594,1,1,1,21,2,10.500000
9595,2,1,1,64,5,12.800000
9596,1,1,1,34,2,17.000000
9597,1,0,0,61,5,12.200000
9598,1,0,1,17,2,8.500000
9599,1,1,1,76,6,12.666667
9600,1,1,1,65,6,10.833333
9601,1,1,1,58,4,14.500000
9602,1,1,1,61,5,12.200000
9603,1,1,1,32,2,16.000000
9604,0,0,0,16,2,8.000000
9605,2,1,2,64,5,12.800000
9606,1,1,1,44,5,8.800000
9607,1,0,0,16,2,8.000000
9608,1,1,1,48,4,12.000000
9609,1,1,1,46,4,11.500000
9610,2,1,1,41,4,10.250000
9611,1,1,1,54,4,13.500000
9613,1,1,2,42,3,14.000000
9614,1,1,1,51,4,12.750000
9615,1,1,1,41,3,13.666667
9616,1,0,0,49,3,16.333333
9617,1,1,1,62,5,12.400000
9618,0,0,0,34,2,17.000000
9619,1,2,2,82,5,16.400000
9620,1,1,1,45,3,15.000000
9621,1,1,1,29,2,14.500000
9622,0,0,0,47,4,11.750000
9623,0,0,0,37,2,18.500000
9624,1,0,0,46,3,15.333333
9626,1,0,0,10,2,5.000000
9627,1,1,1,36,3,12.000000
9629,1,1,1,34,3,11.333333
9630,0,0,0,41,4,10.250000
9631,0,0,0,35,3,11.666667
9632,1,1,1,43,3,14.333333
9633,1,0,0,22,2,11.000000
9634,0,0,0,45,6,7.500000
9635,1,1,1,59,6,9.833333
9636,1,0,0,36,4,9.000000
9637,1,1,1,36,3,12.000000
9638,0,0,0,37,4,9.250000
9639,0,1,1,27,3,9.000000
9640,1,1,1,56,4,14.000000
9641,1,1,1,61,3,20.333333
9642,1,0,0,39,2,19.500000
9643,1,0,0,70,5,14.000000
9644,1,1,1,57,4,14.250000
9645,0,1,1,56,3,18.666667
9646,0,0,0,22,2,11.000000
9647,1,1,1,34,3,11.333333
9648,1,0,0,28,2,14.000000
9650,0,1,0,66,5,13.200000
9651,0,1,1,34,4,8.500000
9652,0,0,0,33,3,11.000000
9653,1,0,1,32,2,16.000000
9654,1,1,1,47,3,15.666667
9657,1,1,1,59,5,11.800000
9658,2,1,1,41,3,13.666667
9659,1,1,1,47,4,11.750000
9660,0,0,0,43,3,14.333333
9661,2,1,1,41,3,13.666667
9662,0,0,0,43,1,43.000000
9663,1,1,1,57,5,11.400000
9664,1,1,1,64,6,10.666667
9665,0,0,1,33,3,11.000000
9667,0,0,0,64,4,16.000000
9668,1,1,0,42,4,10.500000
9669,1,2,2,68,4,17.000000
9670,1,1,1,42,3,14.000000
9671,1,0,0,26,3,8.666667
9672,1,1,1,55,4,13.750000
9673,2,0,1,48,5,9.600000
9674,0,0,0,18,2,9.000000
9675,2,0,0,34,2,17.000000
9677,0,0,0,22,2,11.000000
9678,1,1,1,45,4,11.250000
9679,1,1,1,28,2,14.000000
9680,0,0,0,35,3,11.666667
9681,2,1,1,44,3,14.666667
9682,1,1,1,56,2,28.000000
9683,0,0,0,30,2,15.000000
9684,0,0,0,50,3,16.666667
9685,1,1,1,59,5,11.800000
9686,0,0,0,19,2,9.500000
9687,1,1,1,61,4,15.250000
9688,1,1,1,60,4,15.000000
